group,run_count,stage_calls,work_item_count,duration_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
learning-side-work,11,13,10,2328.222841,6359066,5253760,97151,32129
slice-1-contracts,15,38,9,8986.192261,35918625,33133184,368654,139963
slice-2-workspace-substrate,8,21,7,7001.091632,34846243,32429312,283131,96508
slice-3-assets-and-compiler,8,21,7,8129.743339,53541077,50654208,319808,115188
slice-4-cli-read-write-surface,16,46,14,18809.374483,114685208,109345664,636522,228523
slice-5-serial-runtime,10,31,9,13895.761974,128994784,124706816,518390,176800
slice-6-daemon-runtime,10,29,9,12740.164017,104984251,100949248,464036,160751
slice-7-runner-adapters,12,32,10,13443.051095,111165860,106547584,482686,153895
slice-8-advanced-parity,9,30,8,14122.166565,136246759,130824448,494506,164528
